Timestamp,Technical_Score,Pressure_Level,Velocity_Data,Coach_Remarks,Recommended_Drill,Campus_Player_ID
0:00:10.666667,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:10.833333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:11,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:11.166667,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:11.333333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:11.500000,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:11.666667,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:11.833333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:12,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:12.166667,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:12.333333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:12.500000,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:12.666667,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:12.833333,100,1,Calculating...,Control: Excellent Close-quarter Handling,Maintain Daily Progress,Auto-Detecting...
0:00:13,60,0,Calculating...,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:13.166667,60,0,Pass Intensity: High (Good for breaking lines),Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:13.333333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:13.500000,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:13.666667,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
